Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,card_image,full_image
108,Wii Play,Wii,2007,Misc,Nintendo  ,Nintendo EAD  ,5.9,4.5,13.96,9.18,2.93,2.85,28.92,https://www.vgchartz.com/games/boxart/full_6165969AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/wii-play_banner88.jpg
109,Farming Simulator,Series,2008,Simulation,Astragon  ,Giants Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3483705AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/4556566226279ccc.png
110,Grand Theft Auto: San Andreas,All,2004,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8875022AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5759965227491ccc.png
111,Super Smash Bros. Ultimate,NS,2018,Fighting,Nintendo  ,Bandai Namco Games  ,9.4,9.7,4.22,1.72,2.41,0.61,8.95,https://www.vgchartz.com/games/boxart/full_8423750AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5351402221289ccc.png
112,Ratchet & Clank,Series,2002,Shooter,Sony Computer Entertainment  ,Insomniac Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8836123AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/7259431226309ccc.png
113,Portal,Series,2007,Puzzle,Valve  ,Valve  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6143069AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/5169503226177ccc.png
114,FIFA 18,All,2017,Sports,Electronic Arts  ,EA Vancouver  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6316214AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/390149227510ccc.png
115,Yoshi,Series,1992,Platform,Nintendo  ,Nintendo  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1925973AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2386206226198ccc.png
116,Borderlands 2,All,2012,Shooter,2K Games  ,Gearbox Software  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6210207AmericaFrontccc.png,https://www.vgchartz.com/games/banners/3985018227651ccc.png
117,Rayman,Series,1995,Platform,Ubisoft  ,Ubisoft  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_5573500AmericaFrontccc.png,https://www.vgchartz.com/games/banners/8311926226099ccc.png
118,The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,Nintendo  ,Nintendo EPD  ,9.9,10.0,4.54,2.94,1.26,0.73,9.46,https://www.vgchartz.com/games/boxart/full_4436858AmericaFrontccc.png,https://www.vgchartz.com/games/banners/9920729118753ccc.jpeg
119,Mario & Sonic at the Olympic Games,Series,2007,Sports,Sega  ,Sega  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3324860AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/3141599226315ccc.png
120,Tales of,Series,1998,Role-Playing,Namco  ,Bandai Namco Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_8149048AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/8158280226072ccc.png
121,Call of Duty: Black Ops,All,2010,Shooter,Activision  ,Treyarch  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_3301411AmericaFrontccc.png,https://www.vgchartz.com/games/banners/4320085227496ccc.png
122,Devil May Cry,Series,2001,Action,Capcom  ,Capcom  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_6662824AmericaFrontccc.png,https://www.vgchartz.com/games/banners/237360226043ccc.png
123,Grand Theft Auto IV,All,2008,Action-Adventure,Rockstar Games  ,Rockstar North  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_7939841AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9767269227490ccc.png
124,Human: Fall Flat,All,2016,Platform,Curve Digital  ,No Brakes Games  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1508029AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9630319228237ccc.png
125,Puyo Puyo,Series,2002,Puzzle,THQ  ,Compile  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_9786892AmericaFrontccc.png,https://www.vgchartz.com/games/banners/4488763226082ccc.png
126,Tiger Woods PGA Tour,Series,1998,Sports,EA Sports  ,EA Redwood Shores  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_2419769AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/2122104226221ccc.png
127,Batman: Arkham,Series,2009,Action-Adventure,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,,,,,,,,https://www.vgchartz.com/games/boxart/full_1400473AmericaFrontccc.jpg,https://www.vgchartz.com/games/banners/9437948226320ccc.png
